id,modified_comment,Cause Span
182763900,Why is this happening? A side effect of generating tests dynamically?,Why is this happening?
955279639,"[BLOCK QUOTE]. I tried this, sadly it doesn't work for me.",sadly it doesn't work for me.
695111102,"Oke. Thanks. Wow, it was my 300th PR :).","Thanks. Wow, it was my 300th PR :)."
607233139,"Just a PR -- I'll mark it with the Housekeeping label. (The bot doesn't know about Housekeeping iirc, so it will still probably comment, unfortunately.)","it will still probably comment, unfortunately"
678683145,I think it's best to avoid the null assertion.,I think it's best to avoid
705693089,"I agree, it's not bad to keep this test, even if it passes without this change and has coverage in a golden file test. I think it's never bad to have another test. :)","I agree, it's not bad to keep this test"
671451986,"let's look what [USER] answer, maybe it is not bad to have parser pinned, sometimes regressions happens",.maybe it is not bad to have parser pinned
170027075,"returning a value doesn't make sense here. It's an async function.
Maybe you want to wrap this in a Promise:",returning a value doesn't make sense here. It's an async function.
647642414,"I thought about this, but it didn't make sense to me that an entry would be both updated and deleted during the lifetime of the cache (which I think corresponds to a file change event). If that *is* possible, then I'll update the code to keep the two collections in sync.",didn't make sense to me
450314177,"Not sure, maybe better slice on line 2378","Not sure, maybe better slice on line 2378"
545912300,"Oops, missed the precedent. Changed.","Oops, missed the precedent."
185240719,Lmaooooo nanifest seems cooler though 😂,Lmaooooo nanifest seems cooler though 😂
904507572,"Unfortunately no, you webpack v5 required...","Unfortunately no, you webpack v5 required..."
948692661,"Without additional information, we are unfortunately not sure how to resolve this issue. We are therefore reluctantly going to close this bug for now. Please don't hesitate to comment on the bug if you have any more information for us; we will reopen it right away! Thanks for your contribution.
Could everyone who still has this problem please file a new issue with the exact description of what happens, logs, and the output of `flutter doctor -v`.
All system setups can be slightly different, so it's always better to open new issues and reference related issues.",we are unfortunately not sure how to resolve this issue
882136287,"A lot of people are also using similar argument against Angular in general, but I have an inkling that we actually disagree on what that usually foreshadows.",disagree on what that usually foreshadows.
899814627,"Hi [USER], thanks for working on the changes in this PR! I had a quick chat about this with [USER], and the problem with this fix is that changing DOM value happens asynchronously and that can lead to subtle issues as described in [this comment]([URL]) We think the best approach would be to update the DOM value once the rendering is complete. Currently there is no lifecycle hook that for that, and we'd need a project proposal to add one. If there is a decision to add such lifecycle hook, the fix in this PR can leverage that and we should be able to land the change. This is certainly a disappointing outcome, since this is a major performance issue and you put in a lot of effort on this. Sorry that it turned out to be blocked on a major addition like this :/","This is certainly a disappointing outcome, since this is a major performance issue and you put in a lot of effort on this. Sorry that it turned out to be blocked on a major addition like this :/"
164664288,The `sourceUrlComment` is not part of the footer. It doesn't make sense to move it into this module.,not part of the footer. It doesn't make sense
600179413,"[BLOCK QUOTE]. That's precisely what I was describing, yes.",That's precisely what I was describing
698757630,"It's already pretty hard to understand what these are for. I'd encourage us to start documenting what the use-cases for each of these are. For example.
[TRIPLE QUOTE].",It's already pretty hard to understand what these are for.
936098797,"I don't see any problems with cast, it is not related",don't see any problems with cast
690663413,"awesome thanks a lot :slightly_smiling_face: I also see don't have a strong preference either way, but I am leaning a bit more on the second one, so since you're giving me carte blanche I'll go with that
thanks! :smiley:",awesome thanks a lot :slightly_smiling_face:
670920406,"You are indeed correct. I must have screwed something up when I initially tested this, but I've now formatted all of the SVGs properly and confirmed that they are still working fine.",I must have screwed something up when I initially tested this
666500391,[TRIPLE QUOTE]. This sounds like it is a bug we should fix directly rather than through a parameter like this.,This sounds like it is a bug we should fix
715947884,"Not sure how important this functionality is, no other existing tests were broken by the change.",Not sure how important this functionality is
665724193,I'm not sure that adding to tslint at this stage in its life is a good use of our time.,not sure that adding to tslint at this
950815592,[USER] I am not sure that this make sense since we have module federation,not sure that this make sense since we have module federation
512943729,I am not sure. but i am certain that extendedSourceFiles should contain source file name that wasnt present. It would need another file exists check or another field just to return information if file is present or not and that seems unnecessary just to let project structure information. Let me know if you think its necessary. If it is we would probably need another field on tsconfig source files,seems unneccesary just to let the project structure information
691654921,I'm embarrassed that I never thought of using reduce for calculating math.max of more than 2 items. 👍,I'm embarrassed that I never thought of using reduce for calculating
917503891,"Sorry it took long to reply!
Unfortunately, that is not going to work in my setup: I am dynamically importing Preact during the runtime, that is `getPreact()` returns Preact's exports. `jsxImportSource` implies automatic import, which is not going to work. I can, of course, use it to silence TypeScript and continue using ESBuild, which will actually use `h` defined in the scope, but then TypeScript starts to complain about ‘unused’ `h` declaration, while also not saying anything if I don't declare the `h` (duh).
I'd actually expect TypeScript to *not expect* that `h` can only come from the imports, but rather do what ESBuild does — use `h` defined within the scope; like in my situation — it is defined at the top of the file. Thus I filed it as a bug report, because it's an absolutely valid use case.
Also, I just noticed that I accidentally deleted CodeSandbox example, I re-wrote it here (will update in the issue body): [URL]","Unfortunately, that is not going to work in my setup"
656114362,I'm afraid that it is breaking change,it is breaking change
804762054,"[BLOCK QUOTE].
But that other issue seems to describe a different broken behaviour, not related to HMR.",that other issue seems to describe a different broken behaviour
685271530,"Ah, good point :+1:
It is still unfortunate that we have the same bits of code before and inside the `while` loop. How about something like this (to avoid the code duplication):
[TRIPLE QUOTE].",still unfortunate that we have the same bits of code
678661619,Cool! Is the name ok? `ImportMetaKeyword`/`NewTargetKeyword`? I'm not sure.,I'm not sure.
562258053,"Hm, so the user test previously just applied a custom tsconfig to the contents of the `src` directory and built it. That actually includes way more than they typecheck in their own build: [URL] Do we want to continue checking the whole src folder under our own rules like the `user` test used to, or should we use their build like this?",.Do we want to continue checking the whole src folder 
944607416,"Unfortunately there's disadvantages to this approach too -- Android/iOS tools no longer work because files appear to be missing, for example. Understanding what Android/iOS want from you is harder because the files aren't there so you can't just explore the files and find the comments we left explaining things. You could imagine a mode where you ask the files to appear, then edit them, then ask the unchanged files to be removed, but now there's extra steps, none of which are obvious to the developer, and it's easy to accidentally add or delete the wrong file (or make trivial changes that you don't need to save), etc.
I do wish something like this would exist, though.
cc [USER] [USER] [USER]",Unfortunately there's disadvantages to this approach too
705799769,Is this needed? These tests are testing the factory constructor right?,Is this needed?
566674300,I'm sure there is a nicer (and safer!) way of determining whether the properties of a mapped type are optional. Right now I'm looking at the syntax node. But this approach does not work with `+?` for example.,this approach does not work with `+?` for example
583178068,Does this cause us to be any more eager in resolving method types than before?,Does this cause us to be any more eager
647633096,"isnt this incorrect, you would want to return the watcher.close function that does what it is doing below instead of returning the actual watcher created by nodeModules watcher?",isn't this incorrect
248169866,That's an assumption this piece of code should not make.,this piece of code should not make.
738814346,"Absolutely not. This situation is much different from the one above because that one doesn't make sense and has alternatives. This here has an alternative, which is passing an explicit 0, but when running .at() it would make sense for it to default to the first element in the array. This doesn't seem like another one of JS's quirks, but in fact very much intentional and should stay like this, unless a maintainer says otherwise",Absolutely not. This situation is much different from the one above
652170292,"I thought the problem was with `AssignmentDeclarationKind.ThisProperty`. Why is the new code in `None` instead? Is it because there's an existing PropertyDeclaration? The new code in `getSymbolForExpression` kind of looks like it's a fallback mode for when syntactic detection fails in the checker, which it shouldn't if it has succeeded in the binder. So maybe the fix needs to be to iron out some mismatch between the binder and checker.",.thought the problem was with
161679884,"It's kind of weird to support wrong booleans `""false""`. Remove this.",It's kind of weird to support wrong booleans
876841286,"I hope I'm wrong, but I don't think this proposal would allow us to solve [URL] according to the mentioned caveat.
This is because if my own code set `Validators.required` in a form control, then `@angular/material` has no way to know which function reference to use to check for the required validator presence. Is this correct ?
I was under the impression that this use-case was one of the major thing to solve.
If associating a validator with a name would properly solve all use-cases, maybe a redesign of the Forms API, that also include all the good things from #31963, should be considered, instead of doing half-measures ? A sort of `ReactiveFormsV2Module` ?",.under the impression
938692115,BTW I don't understand why this issue was closed. Is there any sensible reasons why `Array.prototype.includes` can not be a typeguard?,don't understand why this issue was closed
184589259,I generally don't like using `Function` but it seems appropriate in this case 😔,don't like using `Function`
322592566,"But we even bothering with a Promise, the original code should work fine here and is simpler.",we even bothering with a Promise
796915785,"Makes sense. I agree, we should all be pulling the ecosystem toward clear standards and not a mishmash like auto mode. Thanks.","Makes sense. I agree, we should all be pulling the ecosystem"
884985610,"[USER] I don't understand you, what is mean `doesn't break windows`","I don't understand you, what is mean `doesn't break windows`"
883212345,"[BLOCK QUOTE].
Sorry, I am not sure what you mean by this 😕
Can you please elaborate?","what you mean by this 😕
Can you please elaborate?"
940421867,"Yeah what you're saying makes total sense, sorry I think I've just had tunnel vision on the lines section as that seemed the cleanest and more efficient place where to put this.
With the regexes done beforehand we will parse each file one extra time, which thinking of that, it's not even that bad as this is just done at build time so it's not like it needs to be ultra performant or anything (also regexes are should be quite optimized right?)
Anyways I would really not mind having a crack at this :slightly_smiling_face: , but you'd do a better and faster job with you mad regex skills :heart_eyes:, so I can do it or if you'd enjoy this task I am also totally fine with you handling it :slightly_smiling_face::+1:",Yeah what you're saying makes total sense
851132132,I don't quite understand why CI failed. Could you please give me some help,don't quite understand why CI failed. Could you please give me some help
551036875,I wondered why this change is necessary as there cannot be syntactic modifiers in JS files. In case you also wondered: it turns out this might be a bug: #42189,wondered: it turns out this might be a bug:
628914459,"I'm not sure why this code is here, and why it is hard-coded to the `/testing/` path.",I'm not sure why this code is here
643506552,"This doesn't work in the presence of whitespace.
[TRIPLE QUOTE].
I would change your search string to `meta` instead.",doesn't work in the presence of whitespace.
670851195,"[USER] Since that affects all methods in the package, rather than just the proposed new ones, it would need to be changed consistently everywhere. Please feel free to open an issue about this!",.would need to be changed consistently everywhere.
166580511,"Oh, you didn't add composes and values. Well, I like it even more. Those features are hard to maintain.",I like it even more
324006383,"you're right, I should have wrapped the entire thing in the promise. I changed it, should be visible in the latest commit","you're right, I should have wrapped the entire thing in the promise."
926892894,"[BLOCK QUOTE]. I share your feeling that duplication of tokens should be reported as an error (see [URL] 😄), but strictly speaking that would be a breaking change and separate from this fix.",(see [URL] 😄)
655792163,"Depending on the synchronously-executed part of an API that's documented to return a `Promise` seems dangerous, and even before this patch error handling is broken if you try to do so. But I can still implement the synchronous `then()` if you'd like.",.seems dangerous
720379174,"Oh right! 🙃 This started as a Mac issue, I forgot to add the rest",I forgot to add the rest
629544142,"moved, though I'm not 100% on how I set up the tests for it also, worried that while it fixes a bug, it's a bit breaking because it was added into es5 half a year ago","worried that while it fixes a bug, it's a bit breaking"
899418860,"Thank you! Yes, it was a problem due to the `webpack-stream` plugin which depends on version 4 of the webpack. Unfortunately, this plugin does not support version 5 and now it is supported only in the [pull request]([URL] We are waiting for the merge))))","Unfortunately, this plugin does not support version 5"
661805785,"Oh sorry, you're good. I was misreading the open/close brackets for the parameters in SelectableText.rich.","Oh sorry, you're good. I was misreading the open/close brackets"
953862319,[USER] Sounds good. The crash is very random but always happen on the closing of the app. I'll work on a minimal sample app to see if it can be reproduced easily.,The crash is very random
886568180,"Thanks very much for your feedback [USER] Your point is totally fair. My intention was to highlight that camelCase or dash-case class names are perfectly fine to use in Angular templates. Most people, especially beginners, do not know that and end up using the `ngClass` directive. Do you think that rewording the alert towards that direction would make sense?",Thanks very much for your feedback [USER] Your point is totally fair.
704844644,"This change doesn't affect anything but makes the code more clear. If you look at the line about, `currentUrlTree` is set to `urlAfterRedirects`.",makes the code more clear
924140805,"[BLOCK QUOTE].
Just comment on the closed bug. We don’t unsubscribe from closed issues, and if there is a reason to reopen them or reengage with them, we do—as is happening here.
[BLOCK QUOTE].
I think you’re forgetting that you have ways of making plausibly correct subtypes of objects in JavaScript. It’s true that if you wind up with primitives you’re kind of stuck. [URL]
You can also do some arguably correct things with user-defined type guards, which are not checked for accuracy, but are not wrong and are less suspicious than casting to `any`. If you have some pattern of runtime reflection that TypeScript can’t analyze, but you’ve convinced yourself of its safety and its utility, I don’t think I’d call that “shenanigans” anyway; I’d call it a limitation of our compiler.
I guess we’ll have to agree to disagree about what type parameters are for. I won’t be monitoring this thread anymore as the discussion has been exhausted of anything useful to resolving the original issue.",".closed issues, making plausibly correct subtypes of objects, about what type of parameters are for."
941234580,"I think you’re right that this would be fairly easy from an implementation standpoint, but there are two main reasons why we don’t want to move forward without careful consideration of the full problem space:
1. If we _simply_ add a flag that allows module resolution to work with `.ts` files, it will 100% contribute to the misconception that TypeScript does, can, or should emit JS files with the transformation `import ""./foo.ts""` → `import ""./foo.js""`. We already have angry mobs demanding that this happen for `import ""./foo""` → `import ""./foo.js""` so if we allowed `.ts` extensions on there without it being very clear what use cases it is intended to serve, it would just pour fuel on that fire.
2. Such a flag would look like a gift to Deno users, but it would actually be woefully incomplete for them. There are obviously a lot of other parts of module resolution that are either specific to Deno or shared between Deno and the browser that we don’t currently support, and I think those users would be confused and disappointed that we stopped so far short of proper support for these things.
Don’t get me wrong, I want us to solve all of these problems, but we’re still in the phase where we’re trying to develop a thorough understanding of all the different reasons people want this and what the existing solutions are.",.just pour fuel on that fire
701433441,Wow 2 minutes? Doesn't that sound excessive?,Wow 2 minutes? Doesn't that sound excessive?
646820683,Isn't it a bug if attributes or resources below is null here?,Isn't it a bug if attributes or resources below is null here?
953541913,"I don't think there's a way to distinguish what buttons are pushed when the mouse is clicked, unfortunately. We should add an onStartDetails handler (or probably just change the argument to onStart, if we can find a good way to `dart fix` it, but that might not be easy) that gives you that information.
Currently you only get that information on the first move update after the click.",I don't think there's a way to distinguish what buttons are pushed when the mouse is clicked
724610147,"Aaah I see. That is so true. What about something a bit more explicit like...
1. Execute `flutter run` code below
2. <!-- describe steps to demonstrate bug -->
3. <!-- e.g. Tap on X, see crash -->
This way it also nudges folks to fill out your code template below :) WDYT?",.That is so true
677808605,I'm not sure about adding these. Is this the way to do it or is there a better way?,I'm not sure about adding these. Is this the way to do it or is there a better way?
561172432,sorry about that..,sorry about that
665335063,mh.... yeah sorry about that :disappointed:,yeah sorry about that
626115467,Oh! Thank you!!! Actually fixed now. 🙃,Thank you!!! Actually fixed now.
178605793,"This is incorrect.
Actually the usage of `this.chunks` below is incorrect. It should be `compilation.chunks` instead.
This happend probably while the migration from function to arrow function.
Better do a separate PR here, as we should also add tests for this.",This is incorrect.
956248457,"Hi [USER], This doesn't look like flutter specific issue but rather the flutter plugin for Android Studio, I would advise you to please file the issue in the dedicated repo [URL] Closing, as this isn't an issue with flutter. If you disagree feel free to write in the comments and I will reopen it. Thank you.",this isn't an issue with flutter
920707569,You really want a default behavior like this? [TRIPLE QUOTE]. Result: [TRIPLE QUOTE]. I doubt anyone will miss that. I think people are more likely to get upset that it won't finally be changed. It's not only related to a `Map`. I would really just remove this sort. Keep it simple.,doubt anyone will miss that
932994975,"[BLOCK QUOTE].
But it's not, as it has been mentioned several times already...",as it has been mentioned several times already...
799785939,"I didn't really run this part of my project on Friday, but I ran it as suggested all day today with no segfaults.
I'm a little confused as to what changed. I'm still running the same version of node as I was when using webpack 4 and didn't have this issue.
Is webpack requesting a different memory limit of node somehow? Or am I misunderstanding what's going on?",I'm a little confused as to what changed.
184582031,"Hmm this was causing some strange assertions, I'll double check here.",causing some strange assertions
742261922,"That is an awesome description, thanks!","awesome description, thanks!"
677784183,awesome points! I will amend this sorry :bow:,Awesome points!
887448093,"[BLOCK QUOTE].
Are you sure about this? I am a little confused based on docs which actually point to `watchOptions` inside `devServer` conf. Also, when I put `{ followSymlinks: true }` in webpack conf, nothing happens but adding it to devServer actually makes my app to recompile (though it does not hot reloads).",I am a little confused based on docs which actually point to `watchOptions` inside `devServer` conf.
950728707,"I have the exact same issue. For me, it happens for all kinds of widget tests, not just for text input. I'm also on MacOS and can confirm that running `flutter clean` then running the tests again would solve the issue.
Another thing to note is that I'm pretty sure I didn't have this issue before Flutter 2.5. Maybe something introduced in 2.5 caused this issue.",Another thing to note is that I'm pretty sure I didn't have this issue before
688181503,"Ah ok interesting, best to keep both then 👍",best to keep both then 👍
671822413,"cool thank you very much both, I will amend this :smiley:","cool thank you very much both, I will amend this :smiley:"
626601399,"Pete answered here: [URL] Thanks, both of you!","Thanks, both of you!"
716230227,"I highly doubt, but I can check tomorrow.","I highly doubt, but I can check tomorrow."
720239843,i'm not sure but i think this part was just trying to match the result of `findRenameLocations`. doesn't look like we _need_ this info.,i'm not sure but i think this part was just trying
677464104,I am a little confused by this implementation 😕 (I am probably missing something 😅) Why aren't you using something more similar to [URL] What are you trying to improve on by having two different code paths?,I am a little confused by this implementation
932482827,"Good call, I assumed it would be an open-and-shut normative PR but it looks like it hasn't been updated for a while; let's hold off until [URL] is actually merged.",Good call
920773565,"[BLOCK QUOTE].
I can still see the unused functions used in the production mode also",can still see the unused functions used in the production mode also
595303968,"Code size/performance, yes I would have to agree","Code size/performance, yes I would have to agree"
951958223,I'm not convinced that the glossary should require public-api approval 🤔,not convinced that the glossary should require public-api approval 🤔
178605387,"This is not correct. A Chunk doesn't have this probably.
You probably found this in the HMR code. The template takes a `Chunk | { id, modules, removedModules }`. This is a kind of fake Chunk with this extra info.",This is not correct. A Chunk doesn't have this probably.
714192042,"sorry, didn't push yet...","sorry, didn't push yet..."
531047169,"Hah, sorry, yeah, ok. Diffs don't really expand in `checker` and I was reading on mobile~",Diffs don't really expand in `checker` and I was reading on mobile
680373369,"""Illustrate"" doesn't seem right. I think the original meaning was ""let's take an example of"" or ""let's take a look at"".",doesn't seem right
729462534,"[BLOCK QUOTE].
Is there an API that Flutter supports that allows to do that? I don't think the current embedding/engine APIs allows to pass custom parameters.
[BLOCK QUOTE].
That doesn't work unfortunately. The Dart plugin registrant isn't called. It might just be that the engine cannot find the dart plugin registrant because it isn't in the same file that defined the main entrypoint.",That doesn't work unfortunately
343838539,This change doesn't work correctly.,doesn't work correctly
343607217,"I think all files is unnecessary, plugins and webpack.js (as Node.js API) maybe.. don't know exactly",don't know exactly
880074565,"Yep, you are right, duplicate, let's close in favor [URL] thanks for hing","duplicate, let's close in favor [URL] "
685380165,I'm not quite sure what to do with the scale slop right now.,I'm not quite sure what to do with the scale slop right now.
711649080,"I don't have access to ""real"" Safari, but by playing in an emulator another option that I think would work (and avoid repetition) would be to use a `<g>` element and a CSS scale transform: [TRIPLE QUOTE]. ## Either way is not great, so leaving it up to you 😇",Either way is not great
957125817,"Yeah, exactly the same issue. Thanks for the link. But i need to recode to accomodate the updated pluging. I know i am asking for too much, but i just hope pluging developer don't just remove the feature just like that.",exactly the same issue
544653738,"Not exactly; it asserts that the exported symbol was in fact found to be exported by its module symbol, according to either the main program checker or the AutoImportProvider checker. This is basically redoing work during the completions _details_ request that was done during the previous completions _list_ request, so it should always be found, but of course there’s no guarantee of that in the types, hence the assertion. (It’s also the sort of assumption that could plausibly be violated by a bizarre sequence of edits triggering some race condition, or just wrong code, so we do see assertions like this come up in telemetry every once in a while.)",Not exactly; it asserts that the exported
720426290,"I think these are probably the same, but experience would advise not touching it if it’s not broken 😅",experience would advise not touching it if it’s not broken
539004530,"Oh.... Sorry for the misleading...
And, I am a little confused, if there is not any special folder, according to the module resolution [URL] How could file find the correct modules? Did I miss something?","I am a little confused, if there is not any special folder"
719432207,thank you for adding the lint rule. 🙇🏻,thank you for adding the lint rule. 🙇🏻
698685297,"Nice, thanks for adding this missing shape parameter to this.",thanks for adding this missing shape parameter
654631907,"This looks good, thanks for clarifying the docs.","This looks good, thanks for clarifying the docs."
705777941,Thank you for documenting these quirks 🙏,Thank you for documenting these quirks
733987019,thanks for explaining your thought process! 😊,thanks for explaining your thought process!
483824904,Thanks for the clarification 👍,
680570961,"Ah wow! thank you so so very much for the clear explanation!!!! you're amazing as always! thanks so much!!! :slightly_smiling_face: ---
About your comment regarding the tsconfig file locations, my current solution uses the existing `.eslintrc.json` file so I'd imagine the tconfigs are relative to that one and don't cause issues, and it does lint the files inside the ts files inside the `firebase-test-utils` directory, I tested that by violating some rules there and getting indeed errors
But I understand that it could be beneficial to keep the directories self contained (especially after your explanation)
I will add an `.eslintrc.json` file there too then :slightly_smiling_face: , I think a good solution would just be to extend the existing `.eslintrc.json` (meaning `""extends"": ""../../.eslintrc.json""`), as that is also what the existing `tsconfig.json` does (
[URL]
)",Ah wow! thank you so so very much for the clear explanation!!!! you're amazing as always! thanks so much!!! :slightly_smiling_face: ---
708655866,[USER] Thank you for the confirmation.,Thank you for the confirmation.
724371984,Thanks for the detailed comment!,Thanks for the detailed comment!
644409707,Interesting. Thanks for the explanation.,Interesting. Thanks for the explanation.
853769619,"Thanks for the fast reply! I categorized it as a bug, sorry for the inconvenience...
I assume you mean to use require.resolve within the alias to have a direct path to the module. This however, still leads to the same result.
[TRIPLE QUOTE].",sorry for the inconvenience
499866660,"Ah, yes that's right! I was thinking about this case again over the weekend and forgot why I had previously realized it would be fine (because we skip the browser url update in this case 🤦 )",.forgot why I had previously realized it would be fine
705830073,"Unfortunately I do not. I recall that a number of tests had to have their parameters updated to keep the ""goldens"" valid. The main intent behind this change was to fix the jitter users would experience as the scroll slowed down. I added a test for that invalid behavior, see `ClampingScrollSimulation velocity eventually reaches zero`.",Unfortunately I do not. I recall that a number of tests
715116533,"I don't see it, where is logger nullable? Doesn't it need to be present in `handleError`?","I don't see it, where is logger nullable?"
159822327,"Right, I forgot to remove this while investigating the failing test case.",I forgot to remove this
676953338,"yeah sorry, I got so focused on the other issues that I missed the simplest thing :cry: :sob:
`str` is 100% useless, I'll get rid of it, sorry :disappointed: :bow:","sorry, I got so focused on the other issues"
622142795,🧐 awwww I have no idea how I managed that. Goodness! Thank you for catching this! 😁,Goodness! Thank you for catching this!
626079878,"Oh yes, I just mixed that one up. Fixing!",I just mixed that one up
646869077,"I thought I did, my bad",my bad
691553976,I think we're introducing extra whitespace here?,I think we're introducing
648607519,"Oh whoops, I thought I'd added this.",Oh whoops
717777299,I thought the scheduleMicrotask will also be pushed at the end of the frame? or am I missing something?,am I missing something
649409703,oh nice! I tried to find one but couldn't,oh nice! I tried to find one but couldn't
624256467,Sorry i wasnt very clear in my comment.. What i was saying was that comparison needs to be between `Path` but value needs to be string.,Sorry i wasnt very clear in my comment
645957280,"[BLOCK QUOTE].
Excellent point ! 👍
Let's go ahead without support of `undefined`, and I'll deal with it in my own code with one of the workarounds mentioned earlier.",Excellent point ! 
690217023,Thanks! I've extended a new parameter `autoWrap` to control whether or not to wrap the parameter automatically.,Thanks! I've extended a new parameter `autoWrap` to control whether or not to wrap the parameter automatically.
608856666,"Ok, so, in this case, we don’t need a semicolon because we had a line break and `{` is not one of the tokens that prevents ASI from happening. So here, we do want `Unexpected token. A constructor, method, accessor, or property was expected.` But if it were on the previous line, we’d want `';' expected.` Sorry if I led you astray in my previous comment—I think what I said was right, but incomplete. This stuff is tricky 😅 Some test cases:
[TRIPLE QUOTE].
which is what they all say in current master.",Sorry if I led you astray in my previous comment
692481694,"Not sure if it's intentional, but there's a test that specifies an output file without "".dart"" suffix:
[URL]",Not sure if it's intentional
829414970,"Seems to be closed in Terser, but not sure if released
[URL]","not sure if released
"
947366138,"[BLOCK QUOTE].
No, if there would have an overflow error, it would have shown in console too, which I don't see at all. Also tried scrolling but don't see any issue.",".if there would have an overflow error,"
724089127,"[USER] Ok. I've closed PR. If you have any interest in fixing this issue, I would be very grateful for that. 👍🏻",I would be very grateful for that
448856427,"Interesting idea. That's worth trying. I think I refactor the whole thing in a way to not leak the parsed version into the API, so all this is webpack internal and can be changed in future.",interesting idea
