id,modified_comment,Cause Span,GPT-4,ChatGPT,Flan-Alpaca-XL,,best_matches,worst_matches,Emotion 2,ChatGPT,GPT-4,flan-alpaca
186031083,"This is wrong. If options is `undefined`, then `bail` is not a `boolean`","This is wrong. If options is `undefined`, then `bail` is not a `boolean`","This is wrong. If options is `undefined`, then `bail` is not a `boolean`.","If options is `undefined`, then `bail` is not a `boolean`.","This is wrong. If options is undefined, then bail is not a boolean.",335,1,,Disapproval,Frustration,Disapproval,Frustration
186620605,This is wrong,This is wrong,This is wrong,"Span: ""This is wrong""",This is wrong.,336,1,,Disapproval,Disapproval,Disapproval,Disapproval
187519600,"Sorry, I meant to include the exposed variables in the diff.","Sorry, I meant to include","Sorry, I meant to include the exposed variables in the diff.","Sorry, I meant to include the exposed variables in the diff.","""I meant to include the exposed variables in the diff.""",280,1,,Neglect,Regret,Apology,Regret
191852312,"Yep, something is wrong",something is wrong,something is wrong,something is wrong,"""something"" is wrong.",376,1,,Nervousness,Annoyance,Confusion,Frustration
202604993,Not sure why the snapshots changed...,Not sure why the snapshots changed...,Not sure why the snapshots changed...,Not sure why the snapshots changed...,Not sure why the snapshots changed.,231,1,,Confusion,Confusion,Confusion,Confused
221837163,Still not sure if this handels all possible cases... :),not sure if this handels all possible cases...,Still not sure if this handels all possible cases... :),Still not sure if this handels all possible cases... :),Still not sure if this handels all possible cases...,282,1,,Nervousness,Uncertainty,Curiosity,Curiosity
225843589,You should not repeat fields which are serialized in the base class.,You should not repeat fields which are serialized,You should not repeat fields which are serialized in the base class.,You should not repeat fields which are serialized in the base class.,"""You should not repeat fields which are serialized in the base class.""",390,1,,Disapproval,Annoyance,Disapproval,Frustration
243922465,Not sure if the test makes sense this way,Not sure if the test makes sense this way,Not sure if the test makes sense this way.,Not sure if the test makes sense this way.,Not sure if the test makes sense this way.,226,1,,Confusion,Uncertainty,Confusion,Confused
245948453,"Why is this change made?
We want to have caching in the CI.",Why is this change made,Why is this change made?,Why is this change made?,"""why is this change made?""",356,1,,Confusion,Curiosity,Curiosity,Curiosity
247323467,this will falsely abort recursing into parameters of arrow functions,this will falsely abort recursing into parameters of arrow functions,this will falsely abort recursing into parameters of arrow functions,falsely abort recursing into parameters of arrow functions.,"""this will falsely abort recursing into parameters of arrow functions""",342,1,,Nervousness,Frustration,Confusion,Frustration
248169866,That's an assumption this piece of code should not make.,this piece of code should not make.,That's an assumption this piece of code should not make.,an assumption this piece of code should not make.,That's an assumption this piece of code should not make.,308,1,,Disapproval,Disapproval,Disapproval,Disapproval
305635514,I see no reason why this can't be inlined into `getPolicy`,no reason why this can't be inlined into `getPolicy`,I see no reason why this can't be inlined into `getPolicy`.,I see no reason why this can't be inlined into `getPolicy`.,I see no reason why this can't be inlined into getPolicy.,134,1,,Disapproval,Contentment,Curiosity,Optimism
343838539,This change doesn't work correctly.,doesn't work correctly,This change doesn't work correctly.,doesn't work correctly,"""This change doesn't work correctly.""",321,1,,Nervousness,Disappointment,Disapproval,Frustration
351888259,I think here mistake,think here mistake,I think here mistake,here mistake,I think there is a mistake.,138,1,,Disapproval,Disapproval,Confusion,Disapproval
391751718,"Bug, i think it is breaking change",it is breaking change,breaking change,i think it is breaking change,"""Bug, i think it is breaking change""",140,1,,Nervousness,Worry,Confusion,Frustration
488231078,not sure what is correct now.. web or browser? [USER],not sure what is correct now,not sure what is correct now.. web or browser?,not sure what is correct now.. web or browser? [USER],not sure what is correct now.. web or browser?,229,1,,Confusion,Confusion,Curiosity,Confused
498581436,"Slightly afraid of all the places that are going to need to be patched up in the future to check like this, but I guess that's programming",Slightly afraid of all the places that are going to need,Slightly afraid of all the places that are going to need to be patched up in the future,Slightly afraid of all the places that are going to need to be patched up in the future to check like this,"""all the places that are going to need to be patched up in the future""",273,1,,Nervousness,Fear,Fear,Anxiety
540864006,"Yeah, pretty much that exactly.",pretty much that exactly,"Yeah, pretty much that exactly.","Yeah, pretty much that exactly.","""Yeah, pretty much that exactly.""",369,1,,Approval,Contentment,Agreement,Contentment
560552229,"Oh, github didn't load the previous 3 comments before I commented. I guess the point is that I think the comment is not confusing, even if the code itself is.","the comment is not confusing, even if the code itself is.",Oh github didn't load the previous 3 comments before I commented.,github didn't load the previous 3 comments before I commented.,"""github didn't load the previous 3 comments before I commented""",241,1,,Confusion,Irritation,Surprise,Curiosity
561172432,sorry about that..,sorry about that,sorry about that,sorry about that.,"""sorry about that""",274,1,,Neglect,Remorse,Apology,Regret
562449136,"Wait, what do you mean? And is this a TS bug too?",what do you mean?,"Wait, what do you mean?","Wait, what do you mean?","""What do you mean?""",351,1,,Confusion,Confusion,Confusion,Curiosity
572453108,I don’t understand this; can you explain?,I don’t understand this,I don’t understand this; can you explain?,"span: ""I don’t understand this; can you explain?""",I don’t understand this; can you explain?,121,1,,Confusion,Confusion,Curiosity,Curiosity
583178068,Does this cause us to be any more eager in resolving method types than before?,Does this cause us to be any more eager,Does this cause us to be any more eager in resolving method types than before?,Does this cause us to be any more eager in resolving method types than before?,"""Does this cause us to be any more eager in resolving method types than before?""",64,1,,Confusion,Curiosity,Curiosity,Eagerness
616117268,Seems good!,Seems good!,Seems good!,Seems good!,"""Seems good!""",269,1,,Approval,Contentment,Approval,Jubilation
624256467,Sorry i wasnt very clear in my comment.. What i was saying was that comparison needs to be between `Path` but value needs to be string.,Sorry i wasnt very clear in my comment,Sorry i wasnt very clear in my comment.,i wasnt very clear in my comment..,"""Not very clear in my comment.""",275,1,,Neglect,Clarity,Curiosity,Frustration
625279107,It doesn't appear to be deleted?,It doesn't appear to be deleted?,It doesn't appear to be deleted?,"span: ""It doesn't appear to be deleted?""",It doesn't appear to be deleted?,182,1,,Confusion,Confusion,Confusion,Curiosity
638742132,I like the idea of having a class 👍,like the idea of having a class,I like the idea of having a class,I like the idea of having a class,I like the idea of having a class.,129,1,,Affection,Liking,Admiration,Joy.
643506552,"This doesn't work in the presence of whitespace.
[TRIPLE QUOTE].
I would change your search string to `meta` instead.",doesn't work in the presence of whitespace.,This doesn't work in the presence of whitespace.,This doesn't work in the presence of whitespace.,"""This doesn't work in the presence of whitespace.""",325,1,,Disapproval,Frustration,Confusion,Frustration
644290236,I don't think .call is necessary here,I don't think .call is necessary here,I don't think .call is necessary here.,.call is unnecessary here,"""I don't think .call is necessary here.""",111,1,,Disapproval,Disapproval,Curiosity,Frustration
644306608,"Sorry, I don't understand this comment.",I don't understand this comment.,"Sorry, I don't understand this comment.","Sorry, I don't understand this comment.","""I don't understand this comment.""",279,1,,Confusion,Confusion,Confusion,Confusion
644370206,Why just the first one? Why not hide them all?,Why just the first one?,Why not hide them all?,Why just the first one?,"""Why just the first one?""",360,1,,Confusion,Irritation,Curiosity,Frustration
644409707,Interesting. Thanks for the explanation.,Interesting. Thanks for the explanation.,Thanks for the explanation.,Interesting. Thanks for the explanation.,Interesting. Thanks for the explanation.,176,1,,Affection,Contentment,Curiosity,Curiosity
645957280,"[BLOCK QUOTE].
Excellent point ! 👍
Let's go ahead without support of `undefined`, and I'll deal with it in my own code with one of the workarounds mentioned earlier.",Excellent point ! ,Excellent point !,Excellent point ! 👍,Excellent point !,401,1,,Approval,Approval,Approval,Admiration
646820683,Isn't it a bug if attributes or resources below is null here?,Isn't it a bug if attributes or resources below is null here?,Isn't it a bug if attributes or resources below is null here?,if attributes or resources below is null here?,"""Isn't it a bug if attributes or resources below is null here?""",180,1,,Nervousness,Worry,Curiosity,Curiosity
652291343,Is this change still break the G-test or internal test?,still break the G-test or internal test?,Is this change still break the G-test or internal test?,Is this change still break the G-test or internal test?,"Is this change still break the ""G-test"" or ""internal test""?",178,1,,Nervousness,Apprehension,Curiosity,Curiosity
654631907,"This looks good, thanks for clarifying the docs.","This looks good, thanks for clarifying the docs.","This looks good, thanks for clarifying the docs.","This looks good, thanks for clarifying the docs.","""This looks good, thanks for clarifying the docs.""",337,1,,Affection,Contentment,Approval,Approval
656585390,"yes, this is the way i will go about fixing this issue. Please make sure the mechanism is only enabled during debug mode, i.e. wraps the logic in an assert","yes, this is the way i will go about fixing this issue.","yes, this is the way i will go about fixing this issue.","yes, this is the way i will go about fixing this issue.","""yes, this is the way i will go about fixing this issue.""",332,1,,Approval,Contentment,Approval,Optimism
657385922,"Same thing here, do we really need to use a todo if this is not meant for us?",do we really need to use a todo if this is not meant for us?,do we really need to use a todo if this is not meant for us?,do we really need to use a todo if this is not meant for us?,"Same thing here, do we really need to use a todo if this is not meant for us?",268,1,,Disapproval,Annoyance,Confusion,Frustration
664890186,I'm... Not even sure what's different at a glance,Not even sure what's different,Not even sure what's different,I'm... Not even sure what's different at a glance.,"""Not even sure what's different""",218,1,,Confusion,Confusion,Confusion,Confused
665720185,"Not sure why we're doing case analysis here. The value of `shape` can be any OutlinedBorder, not just one of the predefined subclasses. Why is `shape!.paint(canvas, _thumbRect!)` insufficient?",Not sure why we're doing case analysis here.,Not sure why we're doing case analysis here.,Not sure why we're doing case analysis here.,Not sure why we're doing case analysis here.,232,1,,Confusion,Confusion,Confusion,Confused
665722743,Just wanted to note that I appreciate this name to avoid the keyword `class`,Just wanted to note that I appreciate this name to avoid the keyword `class`,I appreciate this name to avoid the keyword `class`,I appreciate this name to avoid the keyword `class`.,"I appreciate this name to avoid the keyword ""class"".",98,1,,Affection,Appreciation,Approval,Admiration
667366663,I wonder if this comment is still relevant with `textContent` 🤔,I wonder if this comment is still relevant,I wonder if this comment is still relevant,I wonder if this comment is still relevant with `textContent` 🤔.,"I wonder if this comment is still relevant with ""textContent"".",149,1,,Confusion,Curiosity,Curiosity,Curiosity
669081074,These are much more helpful. I will update. :),These are much more helpful.,These are much more helpful.,These are much more helpful. I will update. :),These are much more helpful.,317,1,,Affection,Contentment,Satisfaction,Joy.
670758656,Thanks for the detailed explanation!,Thanks for the detailed explanation!,Thanks for the detailed explanation!,Thanks for the detailed explanation!,"""Thanks for the detailed explanation!""",293,1,,Affection,Gratitude,Gratitude,Approval
675865624,"👍 Awesome, looks good to me!","👍 Awesome, looks good to me!",Awesome looks good to me!,"👍 Awesome, looks good to me!","""Awesome, looks good to me!""",2,1,,Affection,Approval,Joy,Excitement.
677784183,awesome points! I will amend this sorry :bow:,Awesome points!,awesome points!,awesome points!,awesome points!,399,1,,Affection,Approval,Approval,Joy.
684542134,It's not clear to me what the differences are between expand and extend from reading the documentation.,It's not clear to me what the differences are between expand and extend from reading the documentation.,It's not clear to me what the differences are between expand and extend from reading the documentation.,It's not clear to me what the differences are between expand and extend from reading the documentation.,It's not clear to me what the differences are between expand and extend from reading the documentation.,192,1,,Confusion,Confusion,Confusion,Curiosity
690000276,"Yeah, that's sounds right. I image we probably shouldn't ignore casts.",that's sounds right,"Yeah, that's sounds right.","Yeah, that's sounds right.","""That's sounds right.""",372,1,,Approval,Approval,Agreement,Joy.
691553976,I think we're introducing extra whitespace here?,I think we're introducing,I think we're introducing extra whitespace here?,I think we're introducing extra whitespace here?,"""introducing extra whitespace here""",144,1,,Nervousness,Confusion,Curiosity,Curiosity.
691577537,Why is this here?,Why is this here?,Why is this here?,"Span: ""Why is this here?""","""Why is this here?""",358,1,,Confusion,Confusion,Confusion,Curiosity
692424334,Is this logic really needed? If we unroll the loop one more iteration we'll naturally hit the `ts.isArrowFunction` case above.,Is this logic really needed?,Is this logic really needed?,"the phrase ""Is this logic really needed?""","""Is this logic really needed?""",171,1,,Disapproval,Annoyance,Curiosity,Curiosity
694986103,This is nice and clean! Awesome!,This is nice and clean! Awesome!,This is nice and clean! Awesome!,This is nice and clean! Awesome!,This is nice and clean!,330,1,,Affection,Contentment,Joy,Excitement.
695111102,"Oke. Thanks. Wow, it was my 300th PR :).","Thanks. Wow, it was my 300th PR :).","Wow, it was my 300th PR :).","Wow, it was my 300th PR :)","""Wow, it was my 300th PR :).""",405,1,,Affection,Happiness,Joy,Joy.
695142359,"Ouch my eyes hurt as I read what I wrote !
Anyway, the more I look into it, the harder it is for me to find a better wording...I think that the use of the future tense and the ""and"" made me wrongly believe that somehow the second part of the sentence was a consequence of the first one.
Maybe because it just happen that the browser doesn't wait for these operations, the use of the present tense would be more appropriate : _The HeroService must wait for the server to respond, getHeroes() cannot return immediately with hero data, and the browser does not block while the service waits._
If this proposition is not convincing, I think I will consider closing this PR: I would not want to overcomplicate the sentence because I alone mis-interpreted it.
Thank you for having taken the time to answer me 😃",Ouch my eyes hurt as I read what I wrote !,Ouch my eyes hurt as I read what I wrote !,Ouch my eyes hurt as I read what I wrote !,"""Ouch my eyes hurt as I read what I wrote !""",257,1,,Nervousness,Worry,Embarrassment,Frustration
698685297,"Nice, thanks for adding this missing shape parameter to this.",thanks for adding this missing shape parameter,"Nice, thanks for adding this missing shape parameter to this.","Nice, thanks for adding this missing shape parameter to this.","""Nice, thanks for adding this missing shape parameter to this.""",215,1,,Affection,Relief,Approval,Approval
705653059,Feel free to file a bug for that - that code has a history of breaking :\,that code has a history of breaking :\,that code has a history of breaking,that code has a history of breaking.,"""That code has a history of breaking""",69,1,,Nervousness,Annoyance,Amusement,Frustration
706383441,"Thank you for this suggestion! Just made the change, the variable names are definitely more understandable now.",Thank you for this suggestion!,Thank you for this suggestion!,Thank you for this suggestion!,"""Thank you for this suggestion!""",285,1,,Affection,Gratitude,Approval,Approval
706423410,"I see that there are some asserts in here, but not sure if they protect every value test or not.",not sure if they protect every value test or not,not sure if they protect every value test or not.,not sure if they protect every value test,"""I see that there are some asserts in here, but not sure if they protect every value test or not.""",135,1,,Confusion,Anxiety,Curiosity,Confused
708188146,Seems my fault.,Seems my fault.,Seems my fault.,Seems my fault.,"""Seems my fault.""",270,1,,Neglect,Regret,Embarrassment,Guilt
708655866,[USER] Thank you for the confirmation.,Thank you for the confirmation.,Thank you for the confirmation.,Thank you for the confirmation.,"""Thank you for the confirmation.""",287,1,,Affection,Gratitude,Gratitude,Approval
715116533,"I don't see it, where is logger nullable? Doesn't it need to be present in `handleError`?","I don't see it, where is logger nullable?","I don't see it, where is logger nullable?","I don't see it, where is logger nullable?","""I don't see it, where is logger nullable?""",110,1,,Horror,Confusion,Confusion,Frustration
715216708,"Unfortunately, you can't change the name and remove bringup from this PR","Unfortunately, you can't change the name","Unfortunately, you can't change the name and remove bringup from this PR.","Unfortunately, you can't change the name and remove bringup from this PR.","""Unfortunately, you can't change the name and remove bringup from this PR.""",348,1,,Disappointment,Disappointment,Disapproval,Disapproval
719432207,thank you for adding the lint rule. 🙇🏻,thank you for adding the lint rule. 🙇🏻,thank you for adding the lint rule.,thank you for adding the lint rule.,"""thank you for adding the lint rule.""",288,1,,Affection,Gratitude,Gratitude,Approval
725279828,"Thanks, that explanation makes sense.","Thanks, that explanation makes sense.",that explanation makes sense.,"Thanks, that explanation makes sense.","Thanks, that explanation makes sense.",299,1,,Affection,Contentment,Approval,Approval
726535928,"[USER] thanks for your excellent code review, I totally missed both of those.",thanks for your excellent code review,thanks for your excellent code review,thanks for your excellent code review.,"""excellent code review, I totally missed both of those.""",33,1,,Affection,Gratitude,Gratitude,Approval
730257276,This class doesn't seem to be used 😕,This class doesn't seem to be used 😕,This class doesn't seem to be used 😕,This class doesn't seem to be used 😕,"""This class doesn't seem to be used""",323,1,,Confusion,Disappointment,Confusion,Frustration
738877939,"I love this!!!! George, you are awesome! 😄","I love this, George you are awesome, 😄",George you are awesome! 😄,"I love this!!!! George, you are awesome! 😄","""George, you are awesome!""",130,1,,Affection,Happiness,Admiration,Admiration
740060843,"I am not convinced that multiformat runs of ngcc are more typical even on the command line.
Obviously the CLI will target only one property per entry-point.
But command line users who are not doing something similar (by providing a list of acceptable properties and asking to only build the first one) are probably wasting a lot of time processing formats that are not used.
But I think it is reasonable to keep one of the two (property or format) in the info message. But I found that keeping both just added a lot of noise to the message, making it less helpful.","I am not convinced that multiformat runs of ngcc are more typical even on the command line.
",But I think it is reasonable to keep one of the two (property or format) in the info message.,But I think it is reasonable to keep one of the two (property or format) in the info message.,"""multiformat runs of ngcc are more typical even on the command line""",94,1,,Nervousness,Confusion,Curiosity,Frustration
742261922,"That is an awesome description, thanks!","awesome description, thanks!","That is an awesome description, thanks!","That is an awesome description, thanks!",awesome description,302,1,,Affection,Joy,Admiration,Admiration
779270595,"Yep, bug, thanks for the issue",thanks for the issue,thanks for the issue,thanks for the issue,"""Yep, bug, thanks for the issue""",296,1,,Approval,Gratitude,Gratitude,Approval
788800390,"It is the same problem, duplicate, yes steps are different but the problem is the same",steps are different but the problem is the same,"duplicate, yes steps are different but the problem is the same","It is the same problem, duplicate,.","""It is the same problem, duplicate, yes steps are different but the problem is the same.""",185,1,,Approval,Frustration,Disapproval,Optimism
824976425,"same result unfortunately
[TRIPLE QUOTE].",same result unfortunately,same result unfortunately,same result unfortunately,"""same result unfortunately""",267,1,,Disappointment,Disappointment,Disappoint,Frustration
866833762,You can't do it dynamically,You can't do it dynamically,You can't do it dynamically,You can't do it dynamically.,"""You can't do it dynamically""",384,1,,Disapproval,Frustration,Disapproval,Frustration
873375987,"I don't think we are at a point where adding this syntactic sugar would improve things noticeably. The `entryComponents` are no longer a thing, so that improves the situation a bit.
Also, we would need to keep the existing APIs, because there are cases where you want more configurability. As a result, we would be introducing multiple ways to achieve the same thing, which is undesirable.
Based on the above (and the relatively low number of upvotes), I am going to close it. In the future, once the `@angular/elements` APIs are more refined and stabilized, we can look into ways to streamline the syntax.",I don't think we are at a point where adding this syntactic sugar would improve things noticeably.,I don't think we are at a point where adding this syntactic sugar would improve things noticeably.,"we would be introducing multiple ways to achieve the same thing, which is undesirable.","""I don't think we are at a point where adding this syntactic sugar would improve things noticeably.""",116,1,,Disapproval,Annoyance,Contentment,Frustration
878517138,"[USER] I don't think that it would be possible to get this fixed in Angular v8, but many thanks for investigating the root cause and posting info here.",many thanks for investigating the root cause and posting info here,many thanks for investigating the root cause and posting info here.,many thanks for investigating the root cause and posting info here.,"""[USER] I don't think that it would be possible to get this fixed in Angular v8""",27,1,,Affection,Gratitude,Appreciation,Approval
887502766,[USER] ci still broken(,ci still broken,ci still broken(,ci still broken.,"""ci still broken""",57,1,,Disappointment,Frustration,Disapproval,Frustration
897875936,"[USER] unfortunately as [USER] mentioned without a reproduction, even shared privately it will not be possible to get to the bottom of this.",.it will not be possible to get to the bottom of this,without a reproduction even shared privately it will not be possible to get to the bottom of this.,"without a reproduction, even shared privately it will not be possible to get to the bottom of this.","Without a reproduction, even shared privately it will not be possible to get to the bottom of this.",439,1,,Disappointment,Frustration,Disapproval,Frustration
913650309,Is it possible that my issue described here [URL] is related to this issue here?,Is it possible that my issue described here [URL] is related to this issue here?,Is it possible that my issue described here [URL] is related to this issue here?,Is it possible that my issue described here [URL] is related to this issue here?,Is it possible that my issue described here [URL] is related to this issue here?,177,1,,Confusion,Curiosity,Curiosity,Curiosity
917098487,"Oh, there are different failures now 😞 I'll have to take another look 😅",there are different failures now 😞,different failures now 😞,"Oh, there are different failures now 😞","""Oh, there are different failures now""",244,1,,Disappointment,Disappointment,Disappointment,Curiosity.
918672907,"I don’t understand, how does it make the code less portable? I use this function to evaluate strings of code and to see how they look when transpiled, and I want the actual result that TS would produce if it was a regular file. Is there a better way to do this?","I don’t understand, how does it make the code less portable?","I don’t understand, how does it make the code less portable?","I don’t understand, how does it make the code less portable?","I don’t understand, how does it make the code less portable?",122,1,,Confusion,Confusion,Curiosity,Curiosity
920773565,"[BLOCK QUOTE].
I can still see the unused functions used in the production mode also",can still see the unused functions used in the production mode also,I can still see the unused functions used in the production mode also,I can still see the unused functions used in the production mode also.,I can still see the unused functions used in the production mode also.,16,1,,Disapproval,Annoyance,Confusion,Frustration
920818407,[USER] I actually don't understand what is an issue? original issue fixed in webpack[USER],I actually don't understand what is an issue?,I actually don't understand what is an issue?,I actually don't understand what is an issue?,"""I actually don't understand what is an issue?""",25,1,,Confusion,Confusion,Confusion,Curiosity
932994975,"[BLOCK QUOTE].
But it's not, as it has been mentioned several times already...",as it has been mentioned several times already...,as it has been mentioned several times already,as it has been mentioned several times already,"""[BLOCK QUOTE]. But it's not, as it has been mentioned several times already....""",15,1,,Disapproval,Irritation,Exasperation,Frustration
938692115,BTW I don't understand why this issue was closed. Is there any sensible reasons why `Array.prototype.includes` can not be a typeguard?,don't understand why this issue was closed,I don't understand why this issue was closed.,I don't understand why this issue was closed.,"cause: ""why this issue was closed""",119,1,,Disapproval,Confusion,Confusion,Curiosity
947893665,"Given the disagreement, I've reopened the issue.",Given the disagreement,Given the disagreement,"Given the disagreement,.","""given the disagreement""",402,1,,Disapproval,Apprehension,Disapproval,Frustration
954948987,"Yeah, that's a good suggestion.",that's a good suggestion.,good suggestion,"Yeah, that's a good suggestion.","Yeah, that's a good suggestion.",371,1,,Approval,Approval,Approval,Approval
955279639,"[BLOCK QUOTE]. I tried this, sadly it doesn't work for me.",sadly it doesn't work for me.,sadly it doesn't work for me.,sadly it doesn't work for me.,"""I tried this, sadly it doesn't work for me.""",11,1,,Disappointment,Disappoint,Disappointment,Frustration
112711969,"You forgot to add the prettier rule to the eslint rules. This does nothing currently.
[URL]",You forgot to add,You forgot to add the prettier rule to the eslint rules.,You forgot to add the prettier rule to the eslint rules.,"""You forgot to add the prettier rule to the eslint rules""",409,,1,Neglect,Annoyance,Disapproval,Frustration
150086821,If this is just github displaying tabs `\t` weirdly forget what I said then 😛,😛,😛,😛,"""If this is just github displaying tabs""",170,,1,Cheerfulness,Amusement,Amusement,Confused
157990120,"Not sure about this. Once `prettier` will land, we won't have to worry anymore",not sure about this,we won't have to worry anymore,"Once `prettier` will land, we won't have to worry anymore.","""Not sure about this. Once ""prettier"" will land, we won't have to worry anymore.""",220,,1,Confusion,Optimism,Relief,Optimism
220100243,Is this the correct way? I don't think so... 😛,😛,I don't think so... 😛,"span: ""I don't think so...""",Is this the correct way? I don't think so...,112,,1,Cheerfulness,Annoyance,Amusement,Curiosity
282613868,"My primary concern is performance. I'd rather avoid lookups against the `resolver` for every generated identifier, if possible. The only case where this check seems like it is needed is [here]([URL] so incurring the cost of the lookup for *every* hoisted variable is unnecessary overhead.
I would still recommend that we add `addBlockVariableDeclaration` for this case, but we can mark it as `/* [USER] */` for now and revisit the API for custom transformer consumption later.",My primary concern is performance,"I'd rather avoid lookups against the `resolver` for every generated identifier, if possible.",The only case where this check seems like it is needed is [here]([URL] so incurring the cost of the lookup for *every* hoisted variable is unnecessary overhead.,"""I'd rather avoid lookups against the resolver for every generated identifier, if possible. The only case where this check seems like it is needed is [here]([url] so incurring the cost of the lookup for *every* hoisted variable is unnecessary overhead. I would still recommend that we add addBlockVariableDeclaration for this case, but we can mark it as /* [USER] */ for now and revisit the API for custom transformer consumption later..""",151,,1,Nervousness,Annoyance,Curiosity,Frustration
407966535,"That's not something you can use here.
signals is something for the CLI not for a plugin.","thats not something you can use here, not for a plugin",That's not something you can use here.,,"""That's not something you can use here.""",309,,1,Disapproval,0,Disapproval,Frustration
526495093,You are right.. this must be friday evening brain fog.. external projects can create configured projects not inferred projects so this doesnt make sense. i am updating the test case..,.this doesnt make sense,friday evening brain fog,external projects can create configured projects not inferred projects so this doesnt make sense.,"""friday evening brain fog""",417,,1,Nervousness,Confusion,Embarrassment,Confused
